Statistics	Correct_Neighbors
D2z *Jaccard^2	6
D2z *Mismatch^2	6
EuclideanZ *Jaccard^2	6
EuclideanZ *Mismatch^2	6
EMD *Jaccard	6
EMD *Mismatch	6
EMD *Canberra	6
EMD *Jensen-Shannon	6
EMD *Manhattan^2	6
EMD *Chi-Squared^2	6
EMD *Harmonic-Mean^2	6
EMD *Jefferey-Div^2	6
EMD *K-Div^2	6
EMD *Squared-Chord^2	6
EMD *KL-Cond^2	6
EMD *Markov^2	6
EMD *RRE-k-r^2	6
EMD *Jaccard^2	6
EMD *Mismatch^2	6
EMD *Canberra^2	6
EMD *Kulczynski1^2	6
EMD *Jensen-Shannon^2	6
Jaccard *Lengthd	6
Jaccard *AFd	6
Jaccard *Mismatch	6
Jaccard *Canberra	6
Jaccard *Kulczynski1	6
Jaccard *Jensen-Shannon	6
Jaccard *Manhattan^2	6
Jaccard *Euclidean^2	6
Jaccard *Chi-Squared^2	6
Jaccard *Harmonic-Mean^2	6
Jaccard *Jefferey-Div^2	6
Jaccard *K-Div^2	6
Jaccard *Squared-Chord^2	6
Jaccard *KL-Cond^2	6
Jaccard *Markov^2	6
Jaccard *RRE-k-r^2	6
Jaccard *EMD^2	6
Jaccard *Jaccard^2	6
Jaccard *Lengthd^2	6
Jaccard *AFd^2	6
Jaccard *Mismatch^2	6
Jaccard *Canberra^2	6
Jaccard *Kulczynski1^2	6
Jaccard *Jensen-Shannon^2	6
Lengthd *Mismatch	6
Lengthd *Canberra	6
Lengthd *Jensen-Shannon	6
Lengthd *Manhattan^2	6
Lengthd *Chi-Squared^2	6
Lengthd *Harmonic-Mean^2	6
Lengthd *Jefferey-Div^2	6
Lengthd *K-Div^2	6
Lengthd *Squared-Chord^2	6
Lengthd *KL-Cond^2	6
Lengthd *Markov^2	6
Lengthd *RRE-k-r^2	6
Lengthd *Jaccard^2	6
Lengthd *Mismatch^2	6
Lengthd *Canberra^2	6
Lengthd *Kulczynski1^2	6
Lengthd *Jensen-Shannon^2	6
D2s *Jaccard^2	6
D2s *Mismatch^2	6
D2s *Canberra^2	6
AFd *Mismatch	6
AFd *Canberra	6
AFd *Kulczynski1	6
AFd *Jensen-Shannon	6
AFd *Manhattan^2	6
AFd *Euclidean^2	6
AFd *Chi-Squared^2	6
AFd *Harmonic-Mean^2	6
AFd *Jefferey-Div^2	6
AFd *K-Div^2	6
AFd *Squared-Chord^2	6
AFd *KL-Cond^2	6
AFd *Markov^2	6
AFd *RRE-k-r^2	6
AFd *Jaccard^2	6
AFd *Mismatch^2	6
AFd *Canberra^2	6
AFd *Kulczynski1^2	6
AFd *Jensen-Shannon^2	6
Mismatch *Canberra	6
Mismatch *Kulczynski1	6
Mismatch *Jensen-Shannon	6
Mismatch *Manhattan^2	6
Mismatch *Euclidean^2	6
Mismatch *Chi-Squared^2	6
Mismatch *Harmonic-Mean^2	6
Mismatch *Jefferey-Div^2	6
Mismatch *K-Div^2	6
Mismatch *Squared-Chord^2	6
