Statistics	Correct_Neighbors
Similarity-ratio *Pearson-Coeff^2	5
Similarity-ratio *Intersection^2	5
Similarity-ratio *EuclideanZ^2	5
Similarity-ratio *EMD^2	5
Similarity-ratio *Jaccard^2	5
Similarity-ratio *Lengthd^2	5
Similarity-ratio *D2s^2	5
Similarity-ratio *Mismatch^2	5
Similarity-ratio *Kulczynski2^2	5
Similarity-ratio *Similarity-ratio^2	5
N2rc *EuclideanZ^2	5
N2rc *D2s^2	5
N2rc *Similarity-ratio^2	5
Manhattan^2 *Euclidean^2	5
Manhattan^2 *Normalized-Vectors^2	5
Manhattan^2 *Pearson-Coeff^2	5
Manhattan^2 *Intersection^2	5
Manhattan^2 *EuclideanZ^2	5
Manhattan^2 *EMD^2	5
Manhattan^2 *Jaccard^2	5
Manhattan^2 *Lengthd^2	5
Manhattan^2 *D2s^2	5
Manhattan^2 *Mismatch^2	5
Manhattan^2 *Kulczynski2^2	5
Manhattan^2 *Similarity-ratio^2	5
Euclidean^2 *Normalized-Vectors^2	5
Euclidean^2 *Pearson-Coeff^2	5
Euclidean^2 *Intersection^2	5
Euclidean^2 *EuclideanZ^2	5
Euclidean^2 *EMD^2	5
Euclidean^2 *Jaccard^2	5
Euclidean^2 *Lengthd^2	5
Euclidean^2 *D2s^2	5
Euclidean^2 *Mismatch^2	5
Euclidean^2 *Kulczynski2^2	5
Euclidean^2 *Similarity-ratio^2	5
Normalized-Vectors^2 *Pearson-Coeff^2	5
Normalized-Vectors^2 *Intersection^2	5
Normalized-Vectors^2 *EuclideanZ^2	5
Normalized-Vectors^2 *EMD^2	5
Normalized-Vectors^2 *Jaccard^2	5
Normalized-Vectors^2 *Lengthd^2	5
Normalized-Vectors^2 *D2s^2	5
Normalized-Vectors^2 *Mismatch^2	5
Normalized-Vectors^2 *Kulczynski2^2	5
Normalized-Vectors^2 *Similarity-ratio^2	5
Pearson-Coeff^2 *Intersection^2	5
Pearson-Coeff^2 *EuclideanZ^2	5
Pearson-Coeff^2 *EMD^2	5
Pearson-Coeff^2 *Jaccard^2	5
Pearson-Coeff^2 *Lengthd^2	5
Pearson-Coeff^2 *D2s^2	5
Pearson-Coeff^2 *Mismatch^2	5
Pearson-Coeff^2 *Kulczynski2^2	5
Pearson-Coeff^2 *Similarity-ratio^2	5
Intersection^2 *EuclideanZ^2	5
Intersection^2 *EMD^2	5
Intersection^2 *Jaccard^2	5
Intersection^2 *Lengthd^2	5
Intersection^2 *D2s^2	5
Intersection^2 *Mismatch^2	5
Intersection^2 *Kulczynski2^2	5
Intersection^2 *Similarity-ratio^2	5
D2z^2 *D2s^2	5
EuclideanZ^2 *EMD^2	5
EuclideanZ^2 *Jaccard^2	5
EuclideanZ^2 *Lengthd^2	5
EuclideanZ^2 *D2s^2	5
EuclideanZ^2 *Mismatch^2	5
EuclideanZ^2 *Kulczynski2^2	5
EuclideanZ^2 *Similarity-ratio^2	5
EuclideanZ^2 *N2rc^2	5
EMD^2 *Jaccard^2	5
EMD^2 *D2s^2	5
EMD^2 *Mismatch^2	5
EMD^2 *Kulczynski2^2	5
EMD^2 *Similarity-ratio^2	5
Jaccard^2 *Lengthd^2	5
Jaccard^2 *D2s^2	5
Jaccard^2 *Mismatch^2	5
Jaccard^2 *Kulczynski2^2	5
Jaccard^2 *Similarity-ratio^2	5
Lengthd^2 *D2s^2	5
Lengthd^2 *Mismatch^2	5
Lengthd^2 *Kulczynski2^2	5
Lengthd^2 *Similarity-ratio^2	5
D2s^2 *Mismatch^2	5
D2s^2 *Kulczynski2^2	5
D2s^2 *Similarity-ratio^2	5
D2s^2 *N2rc^2	5
Mismatch^2 *Kulczynski2^2	5
Mismatch^2 *Similarity-ratio^2	5
Kulczynski2^2 *Similarity-ratio^2	5
Similarity-ratio^2 *N2rc^2	5
Chi-Squared	4
Harmonic-Mean	4
Jefferey-Div	4
K-Div	4
KL-Cond	4
SimMM	4
D2s	4
Canberra	4
Kulczynski1	4
Jensen-Shannon	4
N2r	4
N2rc	4
N2rrc	4
Chi-Squared^2	4
Harmonic-Mean^2	4
Jefferey-Div^2	4
K-Div^2	4
KL-Cond^2	4
SimMM^2	4
D2s^2	4
Canberra^2	4
Kulczynski1^2	4
Jensen-Shannon^2	4
N2r^2	4
N2rc^2	4
N2rrc^2	4
Hellinger *Manhattan	4
Hellinger *Euclidean	4
Hellinger *Normalized-Vectors	4
Hellinger *Pearson-Coeff	4
Hellinger *Markov	4
Hellinger *Intersection	4
Hellinger *EuclideanZ	4
Hellinger *EMD	4
Hellinger *Jaccard	4
Hellinger *Lengthd	4
Hellinger *Mismatch	4
Hellinger *Kulczynski2	4
Hellinger *Similarity-ratio	4
Hellinger *N2r	4
Hellinger *N2rc	4
Hellinger *N2rrc	4
Hellinger *Manhattan^2	4
Hellinger *Euclidean^2	4
Hellinger *Normalized-Vectors^2	4
Hellinger *Harmonic-Mean^2	4
Hellinger *Jefferey-Div^2	4
Hellinger *K-Div^2	4
Hellinger *Pearson-Coeff^2	4
Hellinger *Markov^2	4
Hellinger *Intersection^2	4
Hellinger *EuclideanZ^2	4
Hellinger *EMD^2	4
Hellinger *Jaccard^2	4
Hellinger *Lengthd^2	4
Hellinger *Mismatch^2	4
Hellinger *Canberra^2	4
Hellinger *Kulczynski2^2	4
Hellinger *Similarity-ratio^2	4
Hellinger *Jensen-Shannon^2	4
Hellinger *N2r^2	4
Hellinger *N2rc^2	4
Hellinger *N2rrc^2	4
Manhattan *Chi-Squared	4
Manhattan *Harmonic-Mean	4
Manhattan *Jefferey-Div	4
Manhattan *K-Div	4
Manhattan *Squared-Chord	4
Manhattan *KL-Cond	4
Manhattan *SimMM	4
Manhattan *Spearman	4
Manhattan *Canberra	4
Manhattan *Kulczynski1	4
Manhattan *Jensen-Shannon	4
Manhattan *N2r	4
Manhattan *N2rc	4
Manhattan *N2rrc	4
Manhattan *Chi-Squared^2	4
Manhattan *Harmonic-Mean^2	4
Manhattan *Jefferey-Div^2	4
Manhattan *K-Div^2	4
Manhattan *Squared-Chord^2	4
Manhattan *KL-Cond^2	4
Manhattan *SimMM^2	4
Manhattan *Spearman^2	4
Manhattan *Canberra^2	4
Manhattan *Kulczynski1^2	4
Manhattan *Jensen-Shannon^2	4
Manhattan *N2r^2	4
Manhattan *N2rc^2	4
Manhattan *N2rrc^2	4
Euclidean *Chi-Squared	4
Euclidean *Harmonic-Mean	4
Euclidean *Jefferey-Div	4
Euclidean *K-Div	4
Euclidean *Squared-Chord	4
Euclidean *KL-Cond	4
Euclidean *Markov	4
Euclidean *SimMM	4
Euclidean *Spearman	4
Euclidean *Canberra	4
Euclidean *Kulczynski1	4
Euclidean *Jensen-Shannon	4
Euclidean *N2r	4
Euclidean *N2rc	4
Euclidean *N2rrc	4
Euclidean *Hellinger^2	4
Euclidean *Chi-Squared^2	4
Euclidean *Harmonic-Mean^2	4
Euclidean *Jefferey-Div^2	4
Euclidean *K-Div^2	4
Euclidean *Squared-Chord^2	4
Euclidean *KL-Cond^2	4
Euclidean *SimMM^2	4
Euclidean *Spearman^2	4
Euclidean *Canberra^2	4
Euclidean *Kulczynski1^2	4
Euclidean *Jensen-Shannon^2	4
Euclidean *N2r^2	4
Euclidean *N2rc^2	4
Euclidean *N2rrc^2	4
Chi-Squared *Normalized-Vectors	4
Chi-Squared *Harmonic-Mean	4
Chi-Squared *Jefferey-Div	4
Chi-Squared *K-Div	4
Chi-Squared *Pearson-Coeff	4
Chi-Squared *KL-Cond	4
Chi-Squared *Intersection	4
Chi-Squared *SimMM	4
Chi-Squared *EuclideanZ	4
Chi-Squared *EMD	4
Chi-Squared *Jaccard	4
Chi-Squared *Lengthd	4
Chi-Squared *Mismatch	4
Chi-Squared *Canberra	4
Chi-Squared *Kulczynski1	4
Chi-Squared *Kulczynski2	4
Chi-Squared *Similarity-ratio	4
Chi-Squared *Jensen-Shannon	4
Chi-Squared *N2r	4
Chi-Squared *N2rc	4
Chi-Squared *N2rrc	4
Chi-Squared *Manhattan^2	4
Chi-Squared *Euclidean^2	4
Chi-Squared *Chi-Squared^2	4
Chi-Squared *Normalized-Vectors^2	4
Chi-Squared *Harmonic-Mean^2	4
Chi-Squared *Jefferey-Div^2	4
Chi-Squared *K-Div^2	4
Chi-Squared *Pearson-Coeff^2	4
Chi-Squared *KL-Cond^2	4
Chi-Squared *Intersection^2	4
Chi-Squared *SimMM^2	4
Chi-Squared *EuclideanZ^2	4
Chi-Squared *EMD^2	4
Chi-Squared *Jaccard^2	4
Chi-Squared *Lengthd^2	4
Chi-Squared *Mismatch^2	4
Chi-Squared *Canberra^2	4
Chi-Squared *Kulczynski1^2	4
Chi-Squared *Kulczynski2^2	4
Chi-Squared *Similarity-ratio^2	4
Chi-Squared *Jensen-Shannon^2	4
Chi-Squared *N2r^2	4
Chi-Squared *N2rc^2	4
Chi-Squared *N2rrc^2	4
Normalized-Vectors *Harmonic-Mean	4
Normalized-Vectors *Jefferey-Div	4
Normalized-Vectors *K-Div	4
Normalized-Vectors *Squared-Chord	4
Normalized-Vectors *KL-Cond	4
Normalized-Vectors *SimMM	4
Normalized-Vectors *Spearman	4
Normalized-Vectors *Canberra	4
Normalized-Vectors *Kulczynski1	4
Normalized-Vectors *Jensen-Shannon	4
Normalized-Vectors *N2r	4
Normalized-Vectors *N2rc	4
Normalized-Vectors *N2rrc	4
Normalized-Vectors *Chi-Squared^2	4
Normalized-Vectors *Harmonic-Mean^2	4
Normalized-Vectors *Jefferey-Div^2	4
Normalized-Vectors *K-Div^2	4
Normalized-Vectors *Squared-Chord^2	4
Normalized-Vectors *KL-Cond^2	4
Normalized-Vectors *SimMM^2	4
Normalized-Vectors *Spearman^2	4
Normalized-Vectors *Canberra^2	4
Normalized-Vectors *Kulczynski1^2	4
Normalized-Vectors *Jensen-Shannon^2	4
Normalized-Vectors *N2r^2	4
Normalized-Vectors *N2rc^2	4
Normalized-Vectors *N2rrc^2	4
Harmonic-Mean *Jefferey-Div	4
Harmonic-Mean *K-Div	4
Harmonic-Mean *Pearson-Coeff	4
Harmonic-Mean *Squared-Chord	4
Harmonic-Mean *KL-Cond	4
Harmonic-Mean *Intersection	4
Harmonic-Mean *SimMM	4
Harmonic-Mean *EuclideanZ	4
Harmonic-Mean *EMD	4
Harmonic-Mean *Jaccard	4
Harmonic-Mean *Lengthd	4
Harmonic-Mean *D2s	4
Harmonic-Mean *Mismatch	4
Harmonic-Mean *Canberra	4
Harmonic-Mean *Kulczynski1	4
Harmonic-Mean *Kulczynski2	4
Harmonic-Mean *Similarity-ratio	4
Harmonic-Mean *Jensen-Shannon	4
Harmonic-Mean *N2r	4
Harmonic-Mean *N2rc	4
Harmonic-Mean *N2rrc	4
Harmonic-Mean *Manhattan^2	4
Harmonic-Mean *Euclidean^2	4
Harmonic-Mean *Chi-Squared^2	4
Harmonic-Mean *Normalized-Vectors^2	4
Harmonic-Mean *Harmonic-Mean^2	4
Harmonic-Mean *Jefferey-Div^2	4
Harmonic-Mean *K-Div^2	4
Harmonic-Mean *Pearson-Coeff^2	4
Harmonic-Mean *Squared-Chord^2	4
Harmonic-Mean *KL-Cond^2	4
Harmonic-Mean *Intersection^2	4
Harmonic-Mean *SimMM^2	4
Harmonic-Mean *EuclideanZ^2	4
Harmonic-Mean *EMD^2	4
Harmonic-Mean *Jaccard^2	4
Harmonic-Mean *Lengthd^2	4
Harmonic-Mean *D2s^2	4
Harmonic-Mean *Mismatch^2	4
Harmonic-Mean *Canberra^2	4
Harmonic-Mean *Kulczynski1^2	4
Harmonic-Mean *Kulczynski2^2	4
Harmonic-Mean *Similarity-ratio^2	4
Harmonic-Mean *Jensen-Shannon^2	4
Harmonic-Mean *N2r^2	4
Harmonic-Mean *N2rc^2	4
Harmonic-Mean *N2rrc^2	4
Jefferey-Div *K-Div	4
Jefferey-Div *Pearson-Coeff	4
Jefferey-Div *Squared-Chord	4
Jefferey-Div *KL-Cond	4
Jefferey-Div *Intersection	4
Jefferey-Div *SimMM	4
Jefferey-Div *EuclideanZ	4
Jefferey-Div *EMD	4
Jefferey-Div *Jaccard	4
Jefferey-Div *Lengthd	4
Jefferey-Div *D2s	4
Jefferey-Div *Mismatch	4
Jefferey-Div *Canberra	4
Jefferey-Div *Kulczynski1	4
Jefferey-Div *Kulczynski2	4
Jefferey-Div *Similarity-ratio	4
Jefferey-Div *Jensen-Shannon	4
Jefferey-Div *N2r	4
Jefferey-Div *N2rc	4
Jefferey-Div *N2rrc	4
Jefferey-Div *Manhattan^2	4
Jefferey-Div *Euclidean^2	4
Jefferey-Div *Chi-Squared^2	4
Jefferey-Div *Normalized-Vectors^2	4
Jefferey-Div *Harmonic-Mean^2	4
Jefferey-Div *Jefferey-Div^2	4
Jefferey-Div *K-Div^2	4
Jefferey-Div *Pearson-Coeff^2	4
Jefferey-Div *Squared-Chord^2	4
Jefferey-Div *KL-Cond^2	4
Jefferey-Div *Intersection^2	4
Jefferey-Div *SimMM^2	4
Jefferey-Div *EuclideanZ^2	4
Jefferey-Div *EMD^2	4
Jefferey-Div *Jaccard^2	4
Jefferey-Div *Lengthd^2	4
Jefferey-Div *D2s^2	4
Jefferey-Div *Mismatch^2	4
Jefferey-Div *Canberra^2	4
Jefferey-Div *Kulczynski1^2	4
Jefferey-Div *Kulczynski2^2	4
Jefferey-Div *Similarity-ratio^2	4
Jefferey-Div *Jensen-Shannon^2	4
Jefferey-Div *N2r^2	4
Jefferey-Div *N2rc^2	4
Jefferey-Div *N2rrc^2	4
K-Div *Pearson-Coeff	4
K-Div *Squared-Chord	4
K-Div *KL-Cond	4
K-Div *Intersection	4
K-Div *SimMM	4
K-Div *EuclideanZ	4
K-Div *EMD	4
K-Div *Jaccard	4
K-Div *Lengthd	4
K-Div *D2s	4
K-Div *Mismatch	4
K-Div *Canberra	4
K-Div *Kulczynski1	4
K-Div *Kulczynski2	4
K-Div *Similarity-ratio	4
K-Div *Jensen-Shannon	4
K-Div *N2r	4
K-Div *N2rc	4
K-Div *N2rrc	4
K-Div *Manhattan^2	4
K-Div *Euclidean^2	4
K-Div *Chi-Squared^2	4
K-Div *Normalized-Vectors^2	4
K-Div *Harmonic-Mean^2	4
K-Div *Jefferey-Div^2	4
K-Div *K-Div^2	4
K-Div *Pearson-Coeff^2	4
K-Div *Squared-Chord^2	4
K-Div *KL-Cond^2	4
K-Div *Intersection^2	4
K-Div *SimMM^2	4
K-Div *EuclideanZ^2	4
K-Div *EMD^2	4
K-Div *Jaccard^2	4
K-Div *Lengthd^2	4
K-Div *D2s^2	4
K-Div *Mismatch^2	4
K-Div *Canberra^2	4
K-Div *Kulczynski1^2	4
K-Div *Kulczynski2^2	4
K-Div *Similarity-ratio^2	4
K-Div *Jensen-Shannon^2	4
K-Div *N2r^2	4
K-Div *N2rc^2	4
K-Div *N2rrc^2	4
Pearson-Coeff *Squared-Chord	4
Pearson-Coeff *KL-Cond	4
Pearson-Coeff *SimMM	4
Pearson-Coeff *Spearman	4
Pearson-Coeff *Canberra	4
Pearson-Coeff *Kulczynski1	4
Pearson-Coeff *Jensen-Shannon	4
Pearson-Coeff *N2r	4
Pearson-Coeff *N2rc	4
Pearson-Coeff *N2rrc	4
Pearson-Coeff *Chi-Squared^2	4
Pearson-Coeff *Harmonic-Mean^2	4
Pearson-Coeff *Jefferey-Div^2	4
Pearson-Coeff *K-Div^2	4
Pearson-Coeff *Squared-Chord^2	4
Pearson-Coeff *KL-Cond^2	4
Pearson-Coeff *SimMM^2	4
Pearson-Coeff *Spearman^2	4
Pearson-Coeff *Canberra^2	4
Pearson-Coeff *Kulczynski1^2	4
Pearson-Coeff *Jensen-Shannon^2	4
Pearson-Coeff *N2r^2	4
Pearson-Coeff *N2rc^2	4
Pearson-Coeff *N2rrc^2	4
Squared-Chord *Intersection	4
Squared-Chord *EuclideanZ	4
Squared-Chord *EMD	4
Squared-Chord *Jaccard	4
Squared-Chord *Lengthd	4
Squared-Chord *Mismatch	4
Squared-Chord *Canberra	4
Squared-Chord *Kulczynski1	4
Squared-Chord *Kulczynski2	4
Squared-Chord *Similarity-ratio	4
Squared-Chord *Jensen-Shannon	4
Squared-Chord *N2r	4
Squared-Chord *N2rc	4
Squared-Chord *N2rrc	4
Squared-Chord *Manhattan^2	4
Squared-Chord *Euclidean^2	4
Squared-Chord *Normalized-Vectors^2	4
Squared-Chord *Harmonic-Mean^2	4
Squared-Chord *Jefferey-Div^2	4
Squared-Chord *K-Div^2	4
Squared-Chord *Pearson-Coeff^2	4
Squared-Chord *KL-Cond^2	4
Squared-Chord *Intersection^2	4
Squared-Chord *SimMM^2	4
Squared-Chord *EuclideanZ^2	4
Squared-Chord *EMD^2	4
Squared-Chord *Jaccard^2	4
Squared-Chord *Lengthd^2	4
Squared-Chord *Mismatch^2	4
Squared-Chord *Canberra^2	4
Squared-Chord *Kulczynski1^2	4
Squared-Chord *Kulczynski2^2	4
Squared-Chord *Similarity-ratio^2	4
Squared-Chord *Jensen-Shannon^2	4
Squared-Chord *N2r^2	4
Squared-Chord *N2rc^2	4
Squared-Chord *N2rrc^2	4
KL-Cond *Intersection	4
KL-Cond *D2z	4
KL-Cond *SimMM	4
KL-Cond *EuclideanZ	4
KL-Cond *EMD	4
KL-Cond *Jaccard	4
KL-Cond *Lengthd	4
KL-Cond *D2s	4
KL-Cond *AFd	4
KL-Cond *Mismatch	4
KL-Cond *Canberra	4
KL-Cond *Kulczynski1	4
KL-Cond *Kulczynski2	4
KL-Cond *Similarity-ratio	4
KL-Cond *Jensen-Shannon	4
KL-Cond *N2r	4
KL-Cond *N2rc	4
KL-Cond *N2rrc	4
KL-Cond *Manhattan^2	4
KL-Cond *Euclidean^2	4
KL-Cond *Chi-Squared^2	4
KL-Cond *Normalized-Vectors^2	4
KL-Cond *Harmonic-Mean^2	4
KL-Cond *Jefferey-Div^2	4
KL-Cond *K-Div^2	4
KL-Cond *Pearson-Coeff^2	4
KL-Cond *KL-Cond^2	4
KL-Cond *Intersection^2	4
KL-Cond *D2z^2	4
KL-Cond *SimMM^2	4
KL-Cond *EuclideanZ^2	4
KL-Cond *EMD^2	4
KL-Cond *Jaccard^2	4
KL-Cond *Lengthd^2	4
KL-Cond *D2s^2	4
KL-Cond *AFd^2	4
KL-Cond *Mismatch^2	4
KL-Cond *Canberra^2	4
KL-Cond *Kulczynski1^2	4
KL-Cond *Kulczynski2^2	4
KL-Cond *Similarity-ratio^2	4
KL-Cond *Jensen-Shannon^2	4
KL-Cond *N2r^2	4
KL-Cond *N2rc^2	4
KL-Cond *N2rrc^2	4
Markov *Intersection	4
Markov *EuclideanZ	4
Markov *EMD	4
Markov *Spearman	4
Markov *Jaccard	4
Markov *Lengthd	4
Markov *D2s	4
Markov *Mismatch	4
Markov *Hellinger^2	4
Markov *Manhattan^2	4
Markov *Euclidean^2	4
Markov *Chi-Squared^2	4
Markov *Normalized-Vectors^2	4
Markov *Harmonic-Mean^2	4
Markov *Jefferey-Div^2	4
Markov *K-Div^2	4
Markov *Pearson-Coeff^2	4
Markov *Squared-Chord^2	4
Markov *KL-Cond^2	4
Markov *Intersection^2	4
Markov *RRE-k-r^2	4
Markov *D2z^2	4
Markov *SimMM^2	4
Markov *EuclideanZ^2	4
Markov *Spearman^2	4
Markov *Jaccard^2	4
